3,313@SOMERSET,,1.Permanent E-bin,"313 ORCHARD ROAD,LEVEL 1 DISCOVERY WALK,NEAR MONEY CHANGER",238895,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
4,54 CHIN SWEE RD,,1.Permanent E-bin,54 CHIN SWEE ROAD,160054,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
5,68 GEYLANG BAHRU,,1. Permanent E-bin,"68 GEYLANG BAHRU,MAIN ENTRANCE",330068,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
6,888 PLAZA,,1. Permanent E-bin,"888 WOODLANDSDRIVE 50,888 PLAZA, COMMON CORRIDOR",730888,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
7,ACETHEPLACE CC,,1. Permanent E-bin,"120 WOODLANDSAVENUE 1,ACE THEPLACECC,BESIDE CC OFFICE ENTRANCE",739069,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
8,ALEXANDRA HOSPITAL,,1. Permanent E-bin,"378 ALEXANDRA ROAD,BLK 21,LEVEL 1",159964,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
9,ANCHORVALECC,,1.Permanent E-bin,"59 ANCHORVALEROAD,ANCHORVALECOMMUNITY CLUB,MAIN LOBBY",544965,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
10,ANG MO KIO CC,,1.Permanent E-bin,"ANG MO KIO AVENUE 1,MAIN LOBBY ENTRANCE",569976,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
11,BEDOKINDUSTRIAL PARKE,,1. Permanent E-bin,"3013 BEDOK INDUSTRIAL PARK E, PAVILION",489978,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
12,BEDOKIXORA RC,,1.Permanent E-bin,"51 NEWUPPER CHANGIROAD,#01-1500",461051,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
13,BEDOKRESERVOIR-PUNGGOL CAPEVIEWRC,,1.Permanent E-bin,"477AUPPER SERANGOON VIEW,LEVEL 1",531477,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
14,BOON LAY VIEWRN,,1.Permanent E-bin,"218D BOON LAY AVE#01-309,DROP OFF AREA",640218,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
15,BOON LAY ZONE B RN,,1.Permanent E-bin,682A JURONG WEST CENTRAL 1 #01-104,641682,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
16,BOON LAY ZONE C RN,,1.Permanent E-bin,260 BOON LAY DRIVE,640260,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
17,BOON LAY ZONE F RN,,1.Permanent E-bin,"674A JURONG WEST STREET 65, #01-66, VOIDDECK",641674,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
18,BRADDELL HEIGHTS ZONEB RC,,1.Permanent E-bin,"2A LORONG LEWLIAN,MULTI STOREY CARPARK,LEVEL 1",532002,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
19,BRADDELL HEIGHTS ZONEC RC,,1.Permanent E-bin,"410 SERANGOON CENTRAL,#01-327",550410,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
20,BRADDELL HEIGHTS ZONEF RC,,1.Permanent E-bin,"318 SERANGOON AVE2,#01-324",550318,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
21,BRICKLAND MIRAGEQUAD RN,,1. Permanent E-bin,817A KEAT HONG LINK,682817,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
22,BUANGKOK SQUARE,,1. Permanent E-bin,"991 BUANGKOK LINK,LEVEL 1",530991,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
23,BUGIS JUNCTION TOWERS,,1.Permanent E-bin,"230 VICTORIA STREET, FOUNTAINLOBBY",188024,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
24,BUKIT MERAH CC,,1.Permanent E-bin,4000 JALAN BUKIT MERAH,159465,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
25,BUKIT PANJANG CC,,1. Permanent E-bin,"8 PENDING ROAD,MAIN LOBBY",678295,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
26,BUKIT PURMEIZONE A RC,,1.Permanent E-bin,"108 BUKIT PURMEI ROAD,#01-129",90108,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
27,BUKIT TIMAH PLAZA,,1. Permanent E-bin,"1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA, BUKIT TIMAH PLAZA, RESIDENTIAL BLOCK CARPARK",588996,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
28,CANBERRA PLAZA,,1.Permanent E-bin,"133 CANBERRA VIEW, LEVEL 1",750133,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
29,CAPITALAND JCUBE,,1.Permanent E-bin,"2 JURONG EAST CENTRAL 1,REAR ENTRANCE",609731,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
30,CAPITALAND TAMPINESMALL,,1. Permanent E-bin,"4 TAMPINESCENTRAL 5,CUSTOMER SERVICE COUNTER",529510,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
31,CAUSEWAY POINT,,1. Permanent E-bin,"1 WOODLANDSSQUARE, MAINENTRANCE",738099,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
32,CENTRAL PLAZA,,1. Permanent E-bin,"298 TIONG BAHRU ROAD,COMMONCORRIDOR (LETTERBOX)",168730,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
33,CHANGI GENERAL HOSPITAL,,1. Permanent E-bin,"2 SIMEISTREET 3,CHANGI GENERAL HOSPITAL, B1 MAINBUILDING LOBBY D",529889,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
34,CHINATOWN POINT,,1. Permanent E-bin,"133 NEWBRIDGE ROAD,#06-01",59413,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
35,CIYUAN CC,,1.Permanent E-bin,"51 HOUGANG AVENUE 9,MAIN LOBBY",538776,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
36,CITY PLAZA,,1.Permanent E-bin,"810 GEYLANG RD, LEVEL 1",409286,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
37,CITY SQUARE MALL @ 180 KITCHENER ROAD,,1. Permanent E-bin,"180 KITCHENER ROAD, B4 BESIDETRAVELLATOR LOBBY",208539,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
38,CLEMENTI CC,,1.Permanent E-bin,"220 CLEMENTIAVENUE 4,MAIN ENTRANCE",129880,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
39,CLIFFORD CENTRE,,1. Permanent E-bin,"24 RAFFLES PLACE,CLIFFORD CENTRE, LVL 3 CARPARK LOBBY",48621,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
40,COMPASS ONE,,1. Permanent E-bin,"1 SENGKANG SQUARE,#B1-52/53, MRT EXIT/ENTRANCE",545078,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
41,COMPASSVALESOUTHGATE RC,,1.Permanent E-bin,"201B COMPASSVALE DRIVE, COMPASSVALE SOUTHGATE RC, #01-545, VOIDDECK",542201,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
42,COMPASSVALEVILLA RC,,1.Permanent E-bin,"206C COMPASSVALE LANE,COMPASSVALEVILLA RC,VOID DECK",543206,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
43,CONNECTION ONE,,1. Permanent E-bin,"168 JALAN BUKIT MARAH,SURBANA ONE, LEVEL 1",150169,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
44,CROSS STREET EXCHANGE,,1.Permanent E-bin,"18 CROSS STREET, B1 CUSTOMER SERVICE COUNTER",48423,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
45,DAWSON PLACE,,1.Permanent E-bin,"57 DAWSONRD,DAWSON PLACE",142057,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
46,DEPOT HEIGHTS SHOPPING CENTRE,,1.Permanent E-bin,"108 DEPOT ROAD,DEPOT HEIGHTS SHOPPING CENTRE",100108,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
47,ELIAS MALL,,1.Permanent E-bin,"623 ELIAS ROAD, ELIASMALL,MAIN ENTRANCE",510623,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
48,ENVIRONMENT BUILDING (MSE/NEA),,1.Permanent E-bin,40 SCOTTS ROAD,228231,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
49,EUNOSCC,,1.Permanent E-bin,"180 BEDOK RESERVOIR ROAD, MAINENTRANCE",479220,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,

50,FAJAR SHOPPING CENTRE,1. Permanent E-bin,"445 FAJAR ROAD,FAJAR SHOPPING CENTRE, COMMON CORRIDOR",670445,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.383684863,103.7
706501",,,

51,FARRER GARDENS RC,1.Permanent E-bin,"4 QUEEN’SROAD,FARRER GARDENS RC",260004,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.318832253,103.8
08062",,,

52,FOOD CANOPY COFFEE SHOP,1. Permanent E-bin,"260 ANG MO KIO STREET 21,#01-06",560260,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.368827247,103.8
347066",,,

53,FUCHUN CC,1.Permanent E-bin,"1 WOODLANDSSTREET 31, FUCHUNCC, LIFT LOBBY",738581,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.429529819,103.7
748119",,,

54,FUSIONOPOLIS ONE,1.Permanent E-bin,"3 FUSIONOPOLIS WAY, BASEMENT 2 CONNEXIS",138633,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.299126565,103.7
874027",,,

55,GEK POH SHOPPING CENTRE,1.Permanent E-bin,"762 JURONG WEST STREET 75, GEK POH SHOPPING CENTRE, PRIMESUPERMARKET ENTRANCE",640762,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.348741647,103.6
977396",,,

56,GERMAN CENTRE,1.Permanent E-bin,"25 INTERNATIONAL BUSINESSPARK,MAIN LOBBY",609916,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.324871319,103.7
466676",,,

57,GREENRIDGE SHOPPING CENTRE,1. Permanent E-bin,"524A JELAPANG ROAD,GREENRIDGE SHOPPING CENTRE, GROUND FLOOR - SECURITY COUNTER",671524,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.385295563,103.7
661705",,,

58,GUOCO TOWER,1.Permanent E-bin,"7 WALLICH STREET,GUOCO TOWER,B2 ATRIUM BESIDE ESCALATOR (IN FRONT OFMRT)",78884,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.276799345,103.8
454604",,,

59,HARBOURFRONT CENTRE,1. Permanent E-bin,"1 MARITIME SQUARE, LOADING BAY",99253,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.264012932,103.8
20051",,,

60,HARBOURFRONT TOWER ONE,1. Permanent E-bin,"1 HARBOURFRONT PLACE, MAIN ENTRANCE",98633,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.26499759,103.81
90271",,,

61,HDB HUB,1. Permanent E-bin,"6 LORONG TOAPAYOH,HDB HUB,OPPOSITE OLD CHANG KEE",310480,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.332025489,103.8
483353",,,

62,HDB-POTONG PASIR,1. Permanent E-bin,"121 POTONG PASIR AVENUE,HDB-POTONG PASIR,MAINENTRANCE",350121,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.335760292,103.8
65597",,,

63,HEALTH SCIENCE AUTHORITY,1.Permanent E-bin,"11 OUTRAM ROAD,LEVEL 1",169078,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.280431972,103.8
38448",,,

64,HEARTBEAT @ BEDOK(KAMPONG CHAI CHEE CC),1.Permanent E-bin,"11 BEDOK NORTH STREET 1, MAINATRIUM",469662,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.326623886,103.9
318062",,,

65,HEWLETT-PACKARD @ HP ENTERPRISE,1. Permanent E-bin,"1 DEPOT CLOSE,HP ENTERPRISE",109841,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.282431349,103.8
050324",,,

66,HILLVIEWCC,1.Permanent E-bin,"1 HILLVIEWRISE, HILLVIEWCC,MAIN LOBBY",667970,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.361943196,103.7
64297",,,

67,HONG KAH NORTH CC,1.Permanent E-bin,"30 BUKIT BATOKSTREET 31, HONG KAH NORTH CC,REAR ENTRANCE",659440,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.359058889,103.7
494568",,,

68,HOUGANG CC,1.Permanent E-bin,"35 HOUGANG AVENUE 3,MAIN ENTRANCE",538840,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.364726037,103.8
922591",,,

69,I12 KATONG,1. Permanent E-bin,"112 EAST COAST ROAD,I12 KATONG,B2 TRAVELLATOR",428802,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.305478361,103.9
048454",,,

70,ICA @ PASIR PANJANG TERMINAL BUILDING 3,1.Permanent E-bin,"3 HARBOUR DRIVE, PASIR PANJANG TERMINAL BUILDING 3",117404,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.273665351,103.7
927127",,,

71,IMM,1. Permanent E-bin,"2 JURONG EAST STREET 21, LOADING BAY",609601,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.335017588,103.7
468771",,,

72,INTERNATIONAL PLAZA,1. Permanent E-bin,"10 ANSON ROAD,INTERNATIONAL PLAZA, LEVEL 2 GREEN CORNER",79903,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.276052554,103.8
461154",,,

73,ITE COLLEGECENTRAL,1.Permanent E-bin,"2 ANG MO KIO DRIVE, ATRIUM LEVEL",567720,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.377992041,103.8
56412",,,

74,ITE COLLEGEEAST,1.Permanent E-bin,"10 SIMEI AVE, ITE COLLEGEEAST,#B1-14, ADMIN BUILDING LOBBY, CUSTOMER VISITOR CENTRE",486047,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.333447563,103.9
553108",,,

75,ITE COLLEGEWEST,1.Permanent E-bin,"1 CHOA CHU KANG GROVE, ITE COLLEGE WEST, BLOCK 1, LEVEL 3 FOODCANOPY",688236,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.374906509,103.7
522337",,,

76,JURONG SPRING CC,1.Permanent E-bin,"8 JURONG WEST STREET 52, JURONG SPRING CC, LOBBY",649296,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.348445069,103.7
178721",,,

77,KAMPONG GLAM CC,1. Permanent E-bin,"385 BEACH ROAD, KAMPONG GLAM CC,MAIN LOBBY",199581,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.302782988,103.8
635988",,,

78,KAMPONG UBIINDUSTRIAL ESTATE BLOCK 3024A,1. Permanent E-bin,"3024A UBIRD 1, PAVILION",408718,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.329867099,103.8
960399",,,

79,KEAT HONG CC,1.Permanent E-bin,"2 CHOACHUKANG LOOP, KEAT HONG CC, WALKWAY CORRIDOR",689687,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.384065169,103.7
449238",,,

80,KEBUNBARU CC,1. Permanent E-bin,"ANG MO KIO AVENUE4,GROUND FLOOR - OPPOSITE BURGER KING",569897,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.372949222,103.8
376188",,,

81,KENT RIDGE CAMPUS,1. Permanent E-bin,"27 SCIENCE DRIVE1,KENT RIDGE CAMPUS,OUTSIDE LT27 AND LT29 STUDENT SPACE, LEVEL 1",117541,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.297158849,103.7
801976",,,

82,KENT RIDGE CAMPUS,1. Permanent E-bin,"12 KENT RIDGECRES, KENT RIDGE CAMPUS,CENTRAL LIBRARY FORUM SPACE,LEVEL 1",119275,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.296728869,103.7
731518",,,

83,KITCHENER COMPLEX,1. Permanent E-bin,"809 FRENCH ROAD,KITCHENER COMPLEX,MAIN LOBBY",200808,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.308806094,103.8
61312",,,

84,LENG KEE CC,1.Permanent E-bin,400 LENGKOK BAHRU,159049,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.289787122,103.8
144483",,,

85,LOT ONESHOPPERS'MALL,1. Permanent E-bin,"21 CHOA CHU KANG AVE4,WALKWAY BESIDEMCDONALD'S,WALKWAY BESIDEMACDONALD'S",689812,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.38503874,103.74
50225",,,

86,LOYANG POINT,1. Permanent E-bin,"259 PASIR RIS STREET 21,LOYANG POINT, MAINLOBBY (ATM AREA)",510258,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.367066342,103.9
646356",,,

87,MAPLETREE BUSINESSCITY,1.Permanent E-bin,10 PASIR PANJANG ROAD,117438,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.274574252,103.7
989859",,,

88,MARINA BAY FINANCIAL CENTRETOWER 3,1.Permanent E-bin,"12 MARINABOULEVARD, DROP-OFFDRIVEWAY",18982,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.279105678,103.8
542974",,,

89,MARINA BAY LINK MALL,1.Permanent E-bin,"8A MARINA BOULEVARD,#B2-10, NEAR 7-11",18984,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.279724915,103.8
545488",,,

90,MARINE PARADE CC,1.Permanent E-bin,"278 MARINE PARADE ROAD,MARINE PARADE CC, MAINENTRANCE",449282,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.30487639,103.90
96402",,,

91,MARINE PARADE TOWNCOUNCIL MAIN OFFICE,1.Permanent E-bin,"50 MARINE TERRACE, #01-265 440050",,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.305143882,103.9
158343",,,

92,MARYMOUNT CC,1.Permanent E-bin,"SIN MING AVE, MAIN LOBBY",575738,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.361527087,103.8
415182",,,

93,MOM SERVICESCENTRE,1. Permanent E-bin,"1500 BENDEMEER ROAD,MOM SERVICES CENTRE, LOBBY",339946,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.32590363,103.86
90627",,,

94,MSFBUILDING,1.Permanent E-bin,"512 THOMSONROAD MSF BUILDING LOBBY, MAIN LOBBY",298136,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
